t_unix,date_utc,yes_price
1753833610,2025-07-30 00:00,0.2
1753920008,2025-07-31 00:00,0.051
1754006409,2025-08-01 00:00,0.0505
1754092809,2025-08-02 00:00,0.053
1754179208,2025-08-03 00:00,0.0225
1754265607,2025-08-04 00:00,0.004
1754352008,2025-08-05 00:00,0.005
1754438409,2025-08-06 00:00,0.005
1754524811,2025-08-07 00:00,0.005
1754611202,2025-08-08 00:00,0.0055
1754697613,2025-08-09 00:00,0.005
1754784006,2025-08-10 00:00,0.008
1754870402,2025-08-11 00:00,0.005
1754956803,2025-08-12 00:00,0.0055
1755043209,2025-08-13 00:00,0.004
1755129608,2025-08-14 00:00,0.0075
1755216013,2025-08-15 00:00,0.006
1755302403,2025-08-16 00:00,0.0065
1755388805,2025-08-17 00:00,0.0065
1755475208,2025-08-18 00:00,0.0065
1755561606,2025-08-19 00:00,0.0045
1755648008,2025-08-20 00:00,0.006
1755734406,2025-08-21 00:00,0.0055
1755820806,2025-08-22 00:00,0.005
1755907206,2025-08-23 00:00,0.004
1755993604,2025-08-24 00:00,0.004
1756080004,2025-08-25 00:00,0.006
1756166406,2025-08-26 00:00,0.005
1756252802,2025-08-27 00:00,0.0045
1756339209,2025-08-28 00:00,0.0045
1756425605,2025-08-29 00:00,0.0015
1756512009,2025-08-30 00:00,0.0035
1756598410,2025-08-31 00:00,0.004
1756684808,2025-09-01 00:00,0.004
